CensusBlockGroupID,GeographicAreaName,MedianAgeTotal
530330072001 ,"Block Group 1, Census Tract 72, King County, Washington",29.9
530330072002 ,"Block Group 2, Census Tract 72, King County, Washington",30
530330072003 ,"Block Group 3, Census Tract 72, King County, Washington",32
530330073001 ,"Block Group 1, Census Tract 73, King County, Washington",29
530330073002 ,"Block Group 2, Census Tract 73, King County, Washington",38.3
530330073003 ,"Block Group 3, Census Tract 73, King County, Washington",34.7
530330074011 ,"Block Group 1, Census Tract 74.01, King County, Washington",32.5
530330074012 ,"Block Group 2, Census Tract 74.01, King County, Washington",32.8
530330074013 ,"Block Group 3, Census Tract 74.01, King County, Washington",30.7
530330074014 ,"Block Group 4, Census Tract 74.01, King County, Washington",33.5
530330074021 ,"Block Group 1, Census Tract 74.02, King County, Washington",29
530330074022 ,"Block Group 2, Census Tract 74.02, King County, Washington",31.1
530330074023 ,"Block Group 3, Census Tract 74.02, King County, Washington",31.9
530330075001 ,"Block Group 1, Census Tract 75, King County, Washington",40.9
530330075002 ,"Block Group 2, Census Tract 75, King County, Washington",29.9
530330075003 ,"Block Group 3, Census Tract 75, King County, Washington",31.6
530330075004 ,"Block Group 4, Census Tract 75, King County, Washington",28.8
530330075005 ,"Block Group 5, Census Tract 75, King County, Washington",31.6
530330076001 ,"Block Group 1, Census Tract 76, King County, Washington",31.7
530330076002 ,"Block Group 2, Census Tract 76, King County, Washington",33.1
530330076003 ,"Block Group 3, Census Tract 76, King County, Washington",37.6
530330077001 ,"Block Group 1, Census Tract 77, King County, Washington",42.4
530330077002 ,"Block Group 2, Census Tract 77, King County, Washington",45.1
530330077003 ,"Block Group 3, Census Tract 77, King County, Washington",33.2
530330077004 ,"Block Group 4, Census Tract 77, King County, Washington",32.6
530330078001 ,"Block Group 1, Census Tract 78, King County, Washington",52.1
530330078002 ,"Block Group 2, Census Tract 78, King County, Washington",40.7
530330078003 ,"Block Group 3, Census Tract 78, King County, Washington",39.9
530330078004 ,"Block Group 4, Census Tract 78, King County, Washington",36.8
530330079001 ,"Block Group 1, Census Tract 79, King County, Washington",31.1
530330079002 ,"Block Group 2, Census Tract 79, King County, Washington",33.9
530330079003 ,"Block Group 3, Census Tract 79, King County, Washington",39.5
530330079004 ,"Block Group 4, Census Tract 79, King County, Washington",40.2
530330079005 ,"Block Group 5, Census Tract 79, King County, Washington",31.2
530330080011 ,"Block Group 1, Census Tract 80.01, King County, Washington",34.3
530330080012 ,"Block Group 2, Census Tract 80.01, King County, Washington",51.1
530330080013 ,"Block Group 3, Census Tract 80.01, King County, Washington",32
530330080014 ,"Block Group 4, Census Tract 80.01, King County, Washington",37.9
530330080015 ,"Block Group 5, Census Tract 80.01, King County, Washington",31.8
530330080021 ,"Block Group 1, Census Tract 80.02, King County, Washington",44.3
530330080022 ,"Block Group 2, Census Tract 80.02, King County, Washington",35.1
530330081001 ,"Block Group 1, Census Tract 81, King County, Washington",38.9
530330081002 ,"Block Group 2, Census Tract 81, King County, Washington",41.9
530330081003 ,"Block Group 3, Census Tract 81, King County, Washington",60.5
530330082001 ,"Block Group 1, Census Tract 82, King County, Washington",33.5
530330082002 ,"Block Group 2, Census Tract 82, King County, Washington",31.9
530330082003 ,"Block Group 3, Census Tract 82, King County, Washington",45.5
530330083001 ,"Block Group 1, Census Tract 83, King County, Washington",36
530330083002 ,"Block Group 2, Census Tract 83, King County, Washington",37.6
530330084001 ,"Block Group 1, Census Tract 84, King County, Washington",29.7
530330084002 ,"Block Group 2, Census Tract 84, King County, Washington",33.9
530330084003 ,"Block Group 3, Census Tract 84, King County, Washington",30.8
530330085001 ,"Block Group 1, Census Tract 85, King County, Washington",48.2
530330085002 ,"Block Group 2, Census Tract 85, King County, Washington",31.2
530330085003 ,"Block Group 3, Census Tract 85, King County, Washington",37.4
530330086001 ,"Block Group 1, Census Tract 86, King County, Washington",27.9
530330086002 ,"Block Group 2, Census Tract 86, King County, Washington",21
530330086003 ,"Block Group 3, Census Tract 86, King County, Washington",29.1
530330087001 ,"Block Group 1, Census Tract 87, King County, Washington",32.3
530330087002 ,"Block Group 2, Census Tract 87, King County, Washington",28.6
530330087003 ,"Block Group 3, Census Tract 87, King County, Washington",35.2
530330088001 ,"Block Group 1, Census Tract 88, King County, Washington",38.1
530330088002 ,"Block Group 2, Census Tract 88, King County, Washington",35.3
530330088003 ,"Block Group 3, Census Tract 88, King County, Washington",32.8
530330089001 ,"Block Group 1, Census Tract 89, King County, Washington",43.9
530330089002 ,"Block Group 2, Census Tract 89, King County, Washington",34.2
530330089003 ,"Block Group 3, Census Tract 89, King County, Washington",33.5
530330089004 ,"Block Group 4, Census Tract 89, King County, Washington",37.7
530330090001 ,"Block Group 1, Census Tract 90, King County, Washington",35.6
530330090002 ,"Block Group 2, Census Tract 90, King County, Washington",40.8
530330091001 ,"Block Group 1, Census Tract 91, King County, Washington",60.3
530330091002 ,"Block Group 2, Census Tract 91, King County, Washington",42.6
530330092001 ,"Block Group 1, Census Tract 92, King County, Washington",51.2
530330092002 ,"Block Group 2, Census Tract 92, King County, Washington",43.8
530330093001 ,"Block Group 1, Census Tract 93, King County, Washington",39.1
530330093002 ,"Block Group 2, Census Tract 93, King County, Washington",39.7
530330093003 ,"Block Group 3, Census Tract 93, King County, Washington",39.7
530330094001 ,"Block Group 1, Census Tract 94, King County, Washington",33.7
530330094002 ,"Block Group 2, Census Tract 94, King County, Washington",40.3
530330094003 ,"Block Group 3, Census Tract 94, King County, Washington",51.4
530330094004 ,"Block Group 4, Census Tract 94, King County, Washington",35.7
530330094005 ,"Block Group 5, Census Tract 94, King County, Washington",33.5
530330095001 ,"Block Group 1, Census Tract 95, King County, Washington",42.3
530330095002 ,"Block Group 2, Census Tract 95, King County, Washington",39.5
530330095003 ,"Block Group 3, Census Tract 95, King County, Washington",42.6
530330095004 ,"Block Group 4, Census Tract 95, King County, Washington",39.6
530330096001 ,"Block Group 1, Census Tract 96, King County, Washington",53.6
530330096002 ,"Block Group 2, Census Tract 96, King County, Washington",46.3
530330096003 ,"Block Group 3, Census Tract 96, King County, Washington",41
530330096004 ,"Block Group 4, Census Tract 96, King County, Washington",42.7
530330096005 ,"Block Group 5, Census Tract 96, King County, Washington",57
530330097011 ,"Block Group 1, Census Tract 97.01, King County, Washington",41.5
530330097012 ,"Block Group 2, Census Tract 97.01, King County, Washington",40.6
530330097013 ,"Block Group 3, Census Tract 97.01, King County, Washington",47.3
530330097014 ,"Block Group 4, Census Tract 97.01, King County, Washington",52.8
530330097021 ,"Block Group 1, Census Tract 97.02, King County, Washington",39.5
530330097022 ,"Block Group 2, Census Tract 97.02, King County, Washington",38.7
530330097023 ,"Block Group 3, Census Tract 97.02, King County, Washington",38.7
530330097024 ,"Block Group 4, Census Tract 97.02, King County, Washington",43
530330097025 ,"Block Group 5, Census Tract 97.02, King County, Washington",45.7
530330098001 ,"Block Group 1, Census Tract 98, King County, Washington",42.7
530330098002 ,"Block Group 2, Census Tract 98, King County, Washington",40.3
530330098003 ,"Block Group 3, Census Tract 98, King County, Washington",41.8
530330098004 ,"Block Group 4, Census Tract 98, King County, Washington",40.8
530330098005 ,"Block Group 5, Census Tract 98, King County, Washington",39
530330099001 ,"Block Group 1, Census Tract 99, King County, Washington",49.2
530330099002 ,"Block Group 2, Census Tract 99, King County, Washington",39.5
530330099003 ,"Block Group 3, Census Tract 99, King County, Washington",34.6
530330099004 ,"Block Group 4, Census Tract 99, King County, Washington",40.9
530330100011 ,"Block Group 1, Census Tract 100.01, King County, Washington",35.6
530330100012 ,"Block Group 2, Census Tract 100.01, King County, Washington",38.6
530330100013 ,"Block Group 3, Census Tract 100.01, King County, Washington",29.4
530330100021 ,"Block Group 1, Census Tract 100.02, King County, Washington",37
530330100022 ,"Block Group 2, Census Tract 100.02, King County, Washington",32.2
530330100023 ,"Block Group 3, Census Tract 100.02, King County, Washington",40.3
530330100024 ,"Block Group 4, Census Tract 100.02, King County, Washington",38.1
530330101001 ,"Block Group 1, Census Tract 101, King County, Washington",49.6
530330101002 ,"Block Group 2, Census Tract 101, King County, Washington",32.9
530330101003 ,"Block Group 3, Census Tract 101, King County, Washington",27.2
530330101004 ,"Block Group 4, Census Tract 101, King County, Washington",36.8
530330101005 ,"Block Group 5, Census Tract 101, King County, Washington",39.2
530330102001 ,"Block Group 1, Census Tract 102, King County, Washington",51.1
530330102002 ,"Block Group 2, Census Tract 102, King County, Washington",48.4
530330102003 ,"Block Group 3, Census Tract 102, King County, Washington",34.2
530330102004 ,"Block Group 4, Census Tract 102, King County, Washington",40.1
530330103001 ,"Block Group 1, Census Tract 103, King County, Washington",42.9
530330103002 ,"Block Group 2, Census Tract 103, King County, Washington",32.6
530330103003 ,"Block Group 3, Census Tract 103, King County, Washington",34.2
530330103004 ,"Block Group 4, Census Tract 103, King County, Washington",35.5
530330103005 ,"Block Group 5, Census Tract 103, King County, Washington",33.2
530330104011 ,"Block Group 1, Census Tract 104.01, King County, Washington",35.4
530330104012 ,"Block Group 2, Census Tract 104.01, King County, Washington",44.5
530330104013 ,"Block Group 3, Census Tract 104.01, King County, Washington",50.2
530330104021 ,"Block Group 1, Census Tract 104.02, King County, Washington",36.6
530330104022 ,"Block Group 2, Census Tract 104.02, King County, Washington",40.5
530330104023 ,"Block Group 3, Census Tract 104.02, King County, Washington",35
530330104024 ,"Block Group 4, Census Tract 104.02, King County, Washington",42.2
530330105001 ,"Block Group 1, Census Tract 105, King County, Washington",59.4
530330105002 ,"Block Group 2, Census Tract 105, King County, Washington",44.3
530330105003 ,"Block Group 3, Census Tract 105, King County, Washington",48.4
530330105004 ,"Block Group 4, Census Tract 105, King County, Washington",32.5
530330105005 ,"Block Group 5, Census Tract 105, King County, Washington",41.4
530330106001 ,"Block Group 1, Census Tract 106, King County, Washington",45.3
530330106002 ,"Block Group 2, Census Tract 106, King County, Washington",40.4
